"Sample.Name","Barcode","Notes","Conc","SD","coef_of_var"
72,"xs72",NA,0.0140079536614839,0.00131150036419288,0.0936254070998937
73,"xs73",NA,0.021016713420763,0.00325720933512212,0.154981859908897
74,"xs74",NA,0.0159283342011096,0.00015256148199289,0.00957799353445653
75,"xs75",NA,0.0194000147449392,0.00290225899538943,0.149600865439885
76,"xs76",NA,0,0,0
77,"xs77",NA,0.0214767797877326,1.73744167160374e-05,0.000808986118391989
78,"xs78",NA,0.0611943327011466,0.0165291015391745,0.270108371307803
79,"xs79",NA,0.022382385265479,0.00463730498167701,0.207185468692172
80,"xs80",NA,1.9943979326194,2.24578373217385,1.12604595875422
81,"xs81",NA,0.00618748396854325,0.00124808074538225,0.201710542076135
82,"xs82",NA,0.00139568506333968,7.00178160203631e-05,0.0501673463874582
83,"xs83",NA,0.00154729004250024,5.63423088037998e-05,0.0364135406137283
84,"xs84",NA,0.00219986479129922,0.000242491446523517,0.110230159363705
85,"xs85",NA,0.00135993645344795,0.000249848693688036,0.183720859202337
86,"xs86",NA,0.000562112911867168,0.000332539370873288,0.591588209153021
87,"xs87",NA,0.0128301347591793,0.00115412885372234,0.0899545387001191
88,"xs88",NA,0.00811002798823908,0.000893194675361404,0.110134598383222
89,"xs89",NA,0.00353128609351345,0.000271826208759117,0.0769765466633897
90,"xs90",NA,0.00791225136182062,0.00305050569808567,0.385542061113658
91,"xs91",NA,0.121872151161838,0.00263286812029026,0.0216035254583632
92,"xs92",NA,0.0230993252572227,0.00138795352964683,0.0600863234831002
93,"xs93",NA,0.00478451830566329,0.000412847382514585,0.0862881812001659
94,"xs94",NA,0.0502237445832255,0.0188266061017605,0.374854687916847
95,"xs95",NA,0.0015955196476934,0.000166221371467107,0.104180084342683
96,"xs96",NA,0.00133628571726352,0.000187587647552994,0.140379894157023
97,"xs97",NA,0.00328998074430269,0.000728030235451703,0.221287080999621
98,"xs98",NA,0.00218652149392172,0.000842283039370303,0.385215988825974
99,"xs99",NA,0.00501577714993804,0.00133876595980106,0.26691097307176
100,"xs100",NA,0.00150925226349047,0.000654687468544099,0.433782664688534
101,"xs101",NA,0.00134969872412753,0.000513320330576938,0.380322157382756
102,"xs102",NA,0.00490671222436322,0.000994155978305845,0.202611429577952
103,"xs103",NA,0.00162720029602181,0.000367276514889857,0.225710698177585
104,"xs104",NA,0.00155712385907572,0.000141248975265806,0.0907114578217617
105,"xs105",NA,0.00122202653613149,0.000172400897250778,0.141077867094882
106,"xs106",NA,0.00363541873253536,0.000776638023570709,0.213630968179855
107,"xs107",NA,0.00482798502248488,0.000321050389800433,0.0664978015269803
108,"xs108",NA,0.0025983896245253,0.000818998049155436,0.315194473309621
109,"xs109",NA,0.00306114925475942,1.96313811740473e-05,0.00641307546292451
110,"xs110",NA,0.00211422194160624,0.000564612536401124,0.267054525019341
111,"xs111",NA,15,0,0
112,"xs112",NA,0.00939170017271275,0.000690790409667818,0.0735532860892307
113,"xs113",NA,0.0105711087188194,0.00425891466556166,0.402882495946678
114,"xs114",NA,0.009006476062754,0.00103820972911888,0.115273689940993
115,"xs115",NA,0.0122907173551105,0.00267030493576067,0.217261926916769
116,"xs116",NA,0.0107417925984929,0.00139139273069317,0.129530775979457
117,"xs117",NA,0.0117389275677996,0.00278567285448276,0.237302158855123
118,"xs118",NA,0.0238600569156319,0.00453729594047334,0.190162829724884
119,"xs119",NA,0.0166762754464878,0.0035227741006153,0.211244657832588
120,"xs120",NA,0.445918233035286,0.175595535472898,0.393784156968981
121,"neg121",NA,0.00670554172889596,0.000394969527463032,0.0589019565355926
122,"neg122",NA,0.00557962910967592,0.00165031016479305,0.295774169277875
123,"neg123",NA,0.00741570015052053,0.000146317996501592,0.019730840450894
124,"neg124",NA,0.00901155469618914,0.00167013220806117,0.185332305508553
125,"neg125",NA,0.00943634010449225,0.00283204968408428,0.300121620535494
126,"neg126",NA,0.0050535908188086,0.00639355310735354,1.26515053089732
127,"neg127",NA,0.00749095343463718,5.68800382410455e-06,0.00075931640394452
128,"neg128",NA,0.00734336088972082,0.000248621160216586,0.0338565901840129
129,"neg129",NA,0.006657995376666,0.00267792676626394,0.402212169694374
130,"neg130",NA,0.0139530126838539,0.00776279992377217,0.556352961160502
131,"neg131",NA,0.00613291877498028,0.00084367327544567,0.137564723486556
